Account Number,Suite,House Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Point Location,Assessment Class % 1,Assessment Class % 2,Assessment Class % 3,Assessment Class 1,Assessment Class 2,Assessment Class 3
1066158,,14904,167 AVENUE NW,N,,,,86000,53.63049663158540,-113.5804742693190,POINT (-113.5804742693191 53.63049663158542),100,,,RESIDENTIAL,,
1194653,,8319,156 AVENUE NW,N,2050,BELLE RIVE,tastawiyiniwak Ward,257000,53.616237298079400,-113.46941226946200,POINT (-113.46941226946224 53.616237298079405),100,,,RESIDENTIAL,,
1034321,,11020,JASPER AVENUE NW,N,1150,OLIVER,O-day'min Ward,62112000,53.541279206312000,-113.51143504606200,POINT (-113.51143504606169 53.541279206311984),95,5,,OTHER RESIDENTIAL,COMMERCIAL,
1114974,,14902,RIO TERRACE DRIVE NW,Y,4430,RIO TERRACE,sipiwiyiniwak Ward,842000,53.50760246690830,-113.57858852769900,POINT (-113.57858852769932 53.50760246690828),100,,,RESIDENTIAL,,
1012293,,15112,45 AVENUE NW,Y,5340,RAMSAY HEIGHTS,pihêsiwin Ward,292000,53.48456049274560,-113.58191288991200,POINT (-113.58191288991183 53.48456049274555),100,,,RESIDENTIAL,,
1191519,,,,N,2450,LAGO LINDO,tastawiyiniwak Ward,140000,53.63948692707020,-113.48308106380500,POINT (-113.48308106380469 53.63948692707017),100,,,COMMERCIAL,,
1298835,,132,LAGO LINDO CRESCENT NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,299000,53.62948069898030,-113.48813159800800,POINT (-113.48813159800764 53.62948069898028),100,,,RESIDENTIAL,,
1338524,,16807,96 AVENUE NW,Y,4180,GLENWOOD,Nakota Isga Ward,434000,53.533702694899000,-113.611762514357,POINT (-113.611762514357 53.533702694898956),100,,,RESIDENTIAL,,
1222967,,16327,64 STREET NW,N,2500,MATT BERRY,Dene Ward,140500,53.62542238247150,-113.43657471493600,POINT (-113.43657471493623 53.62542238247154),100,,,COMMERCIAL,,
1286806,1007,10145,121 STREET NW,N,1150,OLIVER,O-day'min Ward,97000,53.542161896253200,-113.53018329065700,POINT (-113.53018329065722 53.542161896253226),100,,,RESIDENTIAL,,
1256791,,8716,153 STREET NW,Y,4230,JASPER PARK,sipiwiyiniwak Ward,342500,53.52012753745310,-113.58555952621500,POINT (-113.58555952621525 53.52012753745309),100,,,RESIDENTIAL,,
1221993,,8915,169 STREET NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,358500,53.52519344514820,-113.61358576137500,POINT (-113.61358576137523 53.52519344514817),100,,,RESIDENTIAL,,
1014836,,10408,16 AVENUE NW,Y,5030,BEARSPAW,Ipiihkoohkanipiaohtsi Ward,408500,53.44653691741950,-113.49439070331600,POINT (-113.49439070331641 53.44653691741951),100,,,RESIDENTIAL,,
1003664,,17319,53 AVENUE NW,N,4451,RIVER VALLEY OLESKIW,sipiwiyiniwak Ward,130500,53.4899703200008,-113.61929010894400,POINT (-113.61929010894437 53.4899703200008),100,,,COMMERCIAL,,
1152735,,16215,84 AVENUE NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,302500,53.51749818306710,-113.60312309985200,POINT (-113.60312309985184 53.51749818306714),100,,,RESIDENTIAL,,
1218106,,8213,167 STREET NW,N,4140,ELMWOOD,sipiwiyiniwak Ward,110500,53.51612118780270,-113.60915178424700,POINT (-113.60915178424662 53.51612118780273),100,,,COMMERCIAL,,
1213313,402,8340,JASPER AVENUE NW,N,1070,CROMDALE,Métis Ward,158500,53.55591201019,-113.47031114606700,POINT (-113.47031114606736 53.55591201019),100,,,RESIDENTIAL,,
1073865,,1603,70 AVENUE NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,2174500,53.50614660057610,-113.36743649975000,POINT (-113.36743649975017 53.50614660057611),100,,,COMMERCIAL,,
1080399,,9504,41 AVENUE NW,N,6700,STRATHCONA INDUSTRIAL PARK,Karhiio Ward,2609000,53.47685898301280,-113.47613696156000,POINT (-113.47613696155976 53.47685898301277),100,,,COMMERCIAL,,
1097518,,17712,92 STREET NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,476000,53.63941314247690,-113.48172210678900,POINT (-113.48172210678885 53.63941314247691),100,,,RESIDENTIAL,,
1078393,,8019,152B AVENUE NW,Y,2410,KILKENNY,tastawiyiniwak Ward,412000,53.61433125590600,-113.46678038102100,POINT (-113.46678038102063 53.61433125590599),100,,,RESIDENTIAL,,
1278662,,15321,95 AVENUE NW,Y,4500,SHERWOOD,sipiwiyiniwak Ward,257500,53.53121143209720,-113.58632344697600,POINT (-113.58632344697617 53.53121143209721),100,,,RESIDENTIAL,,
1290667,204,17135,63 AVENUE NW,N,4080,CALLINGWOOD SOUTH,sipiwiyiniwak Ward,100000,53.49898412109570,-113.61930247119700,POINT (-113.61930247119706 53.49898412109566),100,,,RESIDENTIAL,,
1202415,,9337,158 STREET NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,351000,53.52979027722050,-113.59280734205600,POINT (-113.59280734205551 53.52979027722047),100,,,RESIDENTIAL,,
1131440,,18803,72 AVENUE NW,Y,4270,LYMBURN,sipiwiyiniwak Ward,327000,53.505076783500500,-113.64870503176700,POINT (-113.64870503176687 53.505076783500535),100,,,RESIDENTIAL,,
