Account Number,Suite,House Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Point Location,Assessment Class % 1,Assessment Class % 2,Assessment Class % 3,Assessment Class 1,Assessment Class 2,Assessment Class 3
1001007,,130,GRANDISLE ROAD NW,N,4463,RIVERVIEW AREA,sipiwiyiniwak Ward,7000,53.43600571293650,-113.6495717945130,POINT (-113.6495717945134 53.43600571293653),100,,,FARMLAND,,
1001163,,18407,17 AVENUE NW,Y,4469,RIVER'S EDGE,sipiwiyiniwak Ward,1255500,53.44678524778410,-113.64026174732500,POINT (-113.64026174732517 53.44678524778409),100,1,1,RESIDENTIAL,COMMERCIAL,OTHER
1001197,,18415,17 AVENUE NW,Y,4469,RIVER'S EDGE,sipiwiyiniwak Ward,1274500,53.44679063321670,-113.64097992652100,POINT (-113.64097992652101 53.44679063321668),100,,,RESIDENTIAL,,
1001221,,18421,17 AVENUE NW,Y,4469,RIVER'S EDGE,sipiwiyiniwak Ward,1271000,53.446828990418000,-113.64172122211400,POINT (-113.64172122211426 53.446828990418005),100,,,RESIDENTIAL,,
1001254,,18425,17 AVENUE NW,Y,4469,RIVER'S EDGE,sipiwiyiniwak Ward,1530000,53.44689047080820,-113.64252362213100,POINT (-113.64252362213102 53.44689047080824),100,50,,RESIDENTIAL,COMMERCIAL,
1001304,,1604,184 STREET NW,N,4463,RIVERVIEW AREA,sipiwiyiniwak Ward,59000,53.44568681847860,-113.64141266050700,POINT (-113.64141266050682 53.44568681847858),100,,,COMMERCIAL,,
1001320,,1625,184 STREET NW,Y,4469,RIVER'S EDGE,sipiwiyiniwak Ward,1518000,53.447927946087300,-113.63733482405900,POINT (-113.63733482405878 53.447927946087326),100,,,RESIDENTIAL,,
1001346,,1607,184 STREET NW,N,4469,RIVER'S EDGE,sipiwiyiniwak Ward,79500,53.44625915949830,-113.6381355108880,POINT (-113.6381355108883 53.44625915949833),100,,,RESIDENTIAL,,
1001361,,2005,184 STREET NW,N,4469,RIVER'S EDGE,sipiwiyiniwak Ward,483000,53.45080932772280,-113.63359916528200,POINT (-113.63359916528151 53.45080932772275),71,26,3,COMMERCIAL,RESIDENTIAL,FARMLAND
1001395,,2215,184 STREET NW,N,4469,RIVER'S EDGE,sipiwiyiniwak Ward,1500,53.45357654983210,-113.63164951334000,POINT (-113.63164951334042 53.45357654983205),100,,,FARMLAND,,
1001429,,2005,184 STREET NW,N,4469,RIVER'S EDGE,sipiwiyiniwak Ward,22500,53.45307694323320,-113.62663472595500,POINT (-113.62663472595486 53.45307694323323),100,,,COMMERCIAL,,
1001510,,24,RIVER HEIGHTS DRIVE NW,N,4469,RIVER'S EDGE,sipiwiyiniwak Ward,191000,53.455970458435700,-113.62358202117100,POINT (-113.62358202117086 53.455970458435665),99,1,,COMMERCIAL,FARMLAND,
1104066,,25104,17 STREET NE,N,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,Dene Ward,0,53.71222469377190,-113.32624739031500,POINT (-113.32624739031544 53.71222469377187),100,1,1,OTHER,OTHER,OTHER
1,,,,N,4,,,0,0,0,POINT (0 0),100,,,Other,,
