Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count,Geometry Point
Restaurant or Food Service,BOOSTER JUICE,1 - EDMONTON CENTRE NW,044080668-001,Issued,,"Feb 08, 2024",Downtown,1090,Downtown,O-day'min,53.543756,-113.492766,"(53.54375603063752, -113.49276610169038)",1,POINT (-113.49276610169038 53.54375603063752)
Restaurant or Food Service,JIMMY THE GREEK,1 - KINGSWAY GARDEN MALL NW,091724431-001,Issued,,"Mar 28, 2024",Kingsway,1230,Spruce Avenue,O-day'min,53.562305,-113.505555,"(53.56230503106817, -113.50555509259978)",1,POINT (-113.50555509259978 53.56230503106817)
Restaurant or Food Service,STARBUCKS COFFEE #15390,1 - KINGSWAY GARDEN MALL NW,109737600-001,Issued,,"Jul 10, 2024",Kingsway,1230,Spruce Avenue,O-day'min,53.562305,-113.505555,"(53.56230503106817, -113.50555509259978)",1,POINT (-113.50555509259978 53.56230503106817)
Restaurant or Food Service,SUBWAY,1 - KINGSWAY GARDEN MALL NW,222699143-002,Issued,,"Jul 27, 2024",Kingsway,1230,Spruce Avenue,O-day'min,53.562305,-113.505555,"(53.56230503106817, -113.50555509259978)",1,POINT (-113.50555509259978 53.56230503106817)
Restaurant or Food Service,JOLLIBEE,1 - KINGSWAY GARDEN MALL NW,370982294-002,Issued,,"Oct 05, 2023",Kingsway,1230,Spruce Avenue,O-day'min,53.562305,-113.505555,"(53.56230503106817, -113.50555509259978)",1,POINT (-113.50555509259978 53.56230503106817)
Restaurant or Food Service,MR PRETZELS,1 - KINGSWAY GARDEN MALL NW,447527484-002,Issued,,"Oct 17, 2023",Kingsway,1230,Spruce Avenue,O-day'min,53.562305,-113.505555,"(53.56230503106817, -113.50555509259978)",1,POINT (-113.50555509259978 53.56230503106817)
Restaurant or Food Service,THAI EXPRESS,1 - LONDONDERRY MALL NW,298909698-002,Issued,,"Dec 17, 2023",,2400,Kildare,tastawiyiniwak,53.602319,-113.445764,"(53.60231902159956, -113.44576359256688)",1,POINT (-113.44576359256688 53.60231902159956)
Restaurant or Food Service,A & W RESTAURANT,1 - LONDONDERRY MALL NW,222060306-002,Renewal Notice,,"Apr 08, 2023",,2400,Kildare,tastawiyiniwak,53.602319,-113.445764,"(53.60231902159956, -113.44576359256688)",1,POINT (-113.44576359256688 53.60231902159956)
Restaurant or Food Service,CREPE DELICIOUS,1 - LONDONDERRY MALL NW,188944604-002,Issued,,"Jul 16, 2023",,2400,Kildare,tastawiyiniwak,53.602319,-113.445764,"(53.60231902159956, -113.44576359256688)",1,POINT (-113.44576359256688 53.60231902159956)
Restaurant or Food Service,SUBWAY,1 - LONDONDERRY MALL NW,280465717-002,Issued,,"Jun 03, 2023",,2400,Kildare,tastawiyiniwak,53.602319,-113.445764,"(53.60231902159956, -113.44576359256688)",1,POINT (-113.44576359256688 53.60231902159956)
Restaurant or Food Service,THE HALLWAY CAFE AND TAKEAWAY,1 - SIR WINSTON CHURCHILL SQUARE NW,007262900-001,Issued,,"Mar 03, 2024",Downtown,1090,Downtown,O-day'min,53.545358,-113.490179,"(53.54535803023542, -113.49017860173329)",1,POINT (-113.49017860173329 53.54535803023542)
Restaurant or Food Service,PANADA EXPRESS #60008,"1, 10175 - 186 STREET NW",162307275-001,Issued,,"Dec 03, 2024",,4530,Sunwapta Industrial,Nakota Isga,53.542262,-113.644425,"(53.54226204877924, -113.64442506825861)",1,POINT (-113.64442506825861 53.54226204877924)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",HOANG LONG RICE AND NOODLE SHOP,"1, 10350 - 124 STREET NW",396957237-002,Renewal Notice,,"Mar 08, 2023",124 Street and Area,3440,Westmount,O-day'min,53.545952,-113.536403,"(53.54595203570026, -113.53640259117708)",1,POINT (-113.53640259117708 53.54595203570026)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",FLIRTY BIRD NASHVILLE HOT CHICKEN,"1, 10350 - 124 STREET NW",444883812-002,Issued,,"Sep 08, 2023",124 Street and Area,3440,Westmount,O-day'min,53.545952,-113.536403,"(53.54595203570026, -113.53640259117708)",1,POINT (-113.53640259117708 53.54595203570026)
Cannabis Retail Sales,NUMO CANNABIS,"1, 10502 - 107 AVENUE NW",445172618-002,Issued,,"Sep 13, 2023",North Edge,1030,Central McDougall,O-day'min,53.551658,-113.501613,"(53.55165803122504, -113.50161309705695)",1,POINT (-113.50161309705695 53.55165803122504)
Cannabis Retail Sales,CHOOM CANNABIS CO,"1, 10502 - 107 AVENUE NW",352061100-002,Renewal Notice,,"Apr 12, 2023",North Edge,1030,Central McDougall,O-day'min,53.551658,-113.501613,"(53.55165803122504, -113.50161309705695)",1,POINT (-113.50161309705695 53.55165803122504)
Restaurant or Food Service,DOMINO'S PIZZA #10230,"1, 10503 - KINGSWAY NW",257974166-002,Issued,,"Sep 26, 2024",Kingsway,1030,Central McDougall,O-day'min,53.557319,-113.501973,"(53.557319030935, -113.50197309507656)",1,POINT (-113.50197309507656 53.557319030935)
Restaurant or Food Service,KIM TUYET VIETNAMESE SUBMARINE,"1, 10645 - 97 STREET NW",114471094-001,Issued,,"Sep 20, 2023",Chinatown and Area,1140,McCauley,O-day'min,53.551262,-113.488775,"(53.55126202972088, -113.48877460006797)",1,POINT (-113.48877460006797 53.55126202972088)
Restaurant or Food Service,ARAMARK CANADA,"1, 10800 - 97 AVENUE NW",091301905-001,Issued,,"Dec 12, 2023",Downtown,1090,Downtown,O-day'min,53.533640,-113.505573,"(53.53364003275637, -113.50557310221099)",1,POINT (-113.50557310221099 53.53364003275637)
Restaurant or Food Service,MAI'S KITCHEN,"1, 12232 - 156 STREET NW",434872880-002,Issued,,"Sep 12, 2023",,4190,Hawin Park Estate Industrial,Nakota Isga,53.576570,-113.592387,"(53.576570040572854, -113.5923870683594)",1,POINT (-113.5923870683594 53.576570040572854)
Restaurant or Food Service,BOOSTER JUICE TERWILLEGAR,"1, 2051 - LEGER ROAD NW",451636805-002,Issued,,"Dec 06, 2023",,5630,Leger,pihêsiwin,53.458337,-113.582685,"(53.45833704636022, -113.58268511013769)",1,POINT (-113.58268511013769 53.45833704636022)
Restaurant or Food Service,DONAIR BROS,"1, 2305 - RABBIT HILL ROAD NW",420158273-002,Issued,,"May 18, 2024",,5620,Hodgson,pihêsiwin,53.454989,-113.563745,"(53.45498904430724, -113.56374461548589)",1,POINT (-113.56374461548589 53.45498904430724)
Alcohol Sales (Consumption Off-Premises),RIVERVIEW LIQUOR,"1, 9028 - JASPER AVENUE NW",390165028-002,Issued,,"Oct 03, 2023",,1020,Boyle Street,O-day'min,53.550830,-113.474370,"(53.550830028032834, -113.47437010344315)",1,POINT (-113.47437010344315 53.550830028032834)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Personal Service, Spectator Entertainment",WEEKLY - TRIM TRUE & TAKE CARE CAFE,"1, 9621 - 82 AVENUE NW",343031257-002,Issued,,"Jan 13, 2024",French Quarter and Area,6610,Ritchie,papastew,53.517719,-113.477930,"(53.517719030407996, -113.47792961373739)",1,POINT (-113.47792961373739 53.517719030407996)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",BROWNS SOCIALHOUSE,"10, 1010 - WEBBER GREENS DRIVE NW",167622706-001,Issued,,"Jun 19, 2024",,4730,Suder Greens,Nakota Isga,53.524973,-113.669081,"(53.52497305272723, -113.66908056855775)",1,POINT (-113.66908056855775 53.52497305272723)
Restaurant or Food Service,PRESOTEA,"10, 5015 - 111 STREET NW",374669231-002,Issued,,"Nov 12, 2024",,5170,Empire Park,papastew,53.485787,-113.513412,"(53.48578703650941, -113.51341211646458)",1,POINT (-113.51341211646458 53.48578703650941)
"Restaurant or Food Service, Retail Sales (Minor), Tobacco and Vaping Product Sales",JK THAPAR INVESTMENTS INC.,100 - DAVIES LRT STATION NW,446294534-002,Issued,,"Nov 30, 2024",,1120,Edmonton Northlands,Métis,53.565563,-113.464416,"(53.565563025981284, -113.46441610073273)",1,POINT (-113.46441610073273 53.565563025981284)
"Restaurant or Food Service, Retail Sales (Minor), Tobacco and Vaping Product Sales, Vehicle Wash / Fueling Station",TWIN PARKS FOODS,100 - MAPLE RIDGE DRIVE NW,069135388-001,Issued,,"Aug 19, 2024",,6410,Maple Ridge,Sspomitapi,53.498495,-113.367765,"(53.498495018462414, -113.36776514488572)",1,POINT (-113.36776514488572 53.498495018462414)
Alcohol Sales (Consumption Off-Premises),URBAN PEDAL TOURS,"100, 10004 - 79 AVENUE NW",420272899-002,Issued,,"Mar 07, 2024",Old Strathcona,6610,Ritchie,papastew,53.515433,-113.489031,"(53.51543303186245, -113.48903111201427)",1,POINT (-113.48903111201427 53.51543303186245)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",SHOYU SUSHI,"100, 10011 - 109 STREET NW",394768505-002,Issued,,"Nov 08, 2023",Downtown,1090,Downtown,O-day'min,53.539166,-113.507882,"(53.53916603270572, -113.5078815998416)",1,POINT (-113.5078815998416 53.53916603270572)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited)",SUYA HAUSE & LOUNGE INC.,"100, 10018 - 106 STREET NW",428912737-002,Issued,,"Jun 01, 2023",Downtown,1090,Downtown,O-day'min,53.539436,-113.503440,"(53.539436032161476, -113.50344010074633)",1,POINT (-113.50344010074633 53.539436032161476)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited), Tobacco and Vaping Product Sales",THE PINT,"100, 10125 - 109 STREET NW",089490433-001,Issued,,"Jan 05, 2024",Downtown,1090,Downtown,O-day'min,53.542226,-113.507877,"(53.54222603252513, -113.50787709881666)",1,POINT (-113.50787709881666 53.54222603252513)
Restaurant or Food Service,CAFE CARIBBEAN,"100, 10140 - 117 STREET NW",429220331-002,Issued,,"Jun 15, 2023",,1150,Oliver,O-day'min,53.541884,-113.523668,"(53.541884034423894, -113.52366759539373)",1,POINT (-113.52366759539373 53.541884034423894)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",REMEDY CAFE,"100, 10310 - 124 STREET NW",134449805-003,Issued,,"Jun 25, 2024",124 Street and Area,3440,Westmount,O-day'min,53.544854,-113.536403,"(53.544854035764764, -113.53640259154544)",1,POINT (-113.53640259154544 53.544854035764764)
Restaurant or Food Service,CREDO COFFEE,"100, 10350 - 124 STREET NW",162020139-001,Issued,,"Nov 12, 2023",124 Street and Area,3440,Westmount,O-day'min,53.545952,-113.536403,"(53.54595203570026, -113.53640259117708)",1,POINT (-113.53640259117708 53.54595203570026)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",BUCO EPCOR TOWER,"100, 10423 - 101 STREET NW",272595134-002,Issued,,"Mar 14, 2024",Downtown,1090,Downtown,O-day'min,53.547725,-113.491898,"(53.547725030300576, -113.49189760055414)",1,POINT (-113.49189760055414 53.547725030300576)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",MEUWLY'S,"100, 10706 - 124 STREET NW",286774361-002,Issued,,"Jul 08, 2023",124 Street and Area,3440,Westmount,O-day'min,53.551145,-113.536425,"(53.55114503539793, -113.53642508942947)",1,POINT (-113.53642508942947 53.55114503539793)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",CILANTRO BREAKFAST AND LUNCH,"100, 17834 - 106 AVENUE NW",410435995-002,Issued,,"Nov 17, 2023",,4640,Wilson Industrial,Nakota Isga,53.550434,-113.628824,"(53.55043404644266, -113.62882356899901)",1,POINT (-113.62882356899901 53.55043404644266)
"Alcohol Sales (Consumption Off-Premises), Food Processing / Catering Service",TRIAL & ALE BREWING COMPANY,"100, 17850 - 106A AVENUE NW",390942505-002,Issued,,"Apr 21, 2024",,4640,Wilson Industrial,Nakota Isga,53.551883,-113.630138,"(53.551883046514476, -113.6301375682186)",1,POINT (-113.6301375682186 53.551883046514476)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",RUTH'S CHRIS STEAK HOUSE,"100, 9990 - JASPER AVENUE NW",053961873-009,Issued,,"Nov 14, 2023",Downtown,1090,Downtown,O-day'min,53.541524,-113.489936,"(53.54152403043225, -113.48993560307319)",1,POINT (-113.48993560307319 53.54152403043225)
"Alcohol Sales (Consumption Off-Premises), Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited), Spectator Entertainment, Participant Recreation Service",THE BACKYARD,10004 - 103A AVENUE NW,390776848-002,Issued,,"Jun 07, 2024",Downtown,1090,Downtown,O-day'min,53.546492,-113.492406,"(53.546492030433654, -113.49240610085364)",1,POINT (-113.49240610085364 53.546492030433654)
Cannabis Retail Sales,CLAIR'S CANNABIS,10004 - 158 STREET NW,325603434-006,Issued,,"May 21, 2023",Stony Plain Road and Area,4180,Glenwood,Nakota Isga,53.539553,-113.594268,"(53.53955304296398, -113.59426808037597)",1,POINT (-113.59426808037597 53.53955304296398)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",RICKY'S ALL DAY GRILL,10004 - 21 AVENUE NW,373952016-002,Issued,,"Nov 19, 2023",,6195,South Edmonton Common,Karhiio,53.451947,-113.487303,"(53.451947035409944, -113.48730313359691)",1,POINT (-113.48730313359691 53.451947035409944)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Administration Office / Professional Service, Retail Sales (Minor)",LITTLE BRICK CAFE AND GENERAL STORE,10004 - 90 STREET NW,167970691-002,Issued,,"May 07, 2024",,1210,Riverdale,O-day'min,53.542091,-113.469560,"(53.542091027975616, -113.4695596074521)",1,POINT (-113.4695596074521 53.542091027975616)
Restaurant or Food Service,BADASS JACK'S SUBS & WRAPS,10005 - 170 STREET NW,138239356-001,Issued,,"Sep 09, 2023",Stony Plain Road and Area,4180,Glenwood,Nakota Isga,53.539670,-113.614352,"(53.53967004534867, -113.6143515758473)",1,POINT (-113.6143515758473 53.53967004534867)
Restaurant or Food Service,STARBUCKS COFFEE #4857,10007 - 107 STREET NW,072011744-001,Issued,,"Dec 06, 2023",Downtown,1090,Downtown,O-day'min,53.539490,-113.504124,"(53.53949003223969, -113.50412410057496)",1,POINT (-113.50412410057496 53.53949003223969)
Restaurant or Food Service,PRESS'D SANDWICH,10008 - 170 STREET NW,259922652-002,Issued,,"Oct 21, 2023",Stony Plain Road and Area,4400,Place LaRue,Nakota Isga,53.540291,-113.615918,"(53.540291045498826, -113.6159175752889)",1,POINT (-113.6159175752889 53.540291045498826)
Restaurant or Food Service,HARVEY'S,10008 - 22 AVENUE NW,120542909-001,Issued,,"Apr 10, 2024",,6195,South Edmonton Common,Karhiio,53.453243,-113.487771,"(53.45324303538874, -113.48777113306039)",1,POINT (-113.48777113306039 53.45324303538874)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",ENVIE RESTAURANT,10009 - 107 STREET NW,408666447-002,Issued,,"Nov 01, 2023",Downtown,1090,Downtown,O-day'min,53.539490,-113.504124,"(53.53949003223969, -113.50412410057496)",1,POINT (-113.50412410057496 53.53949003223969)
Restaurant or Food Service,OSMOW'S SHAWARMA,10009 - 170 STREET NW,457232845-002,Issued,,"Dec 29, 2023",Stony Plain Road and Area,4180,Glenwood,Nakota Isga,53.540255,-113.614329,"(53.54025504531174, -113.61432907565599)",1,POINT (-113.61432907565599 53.54025504531174)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",ALIMENTS KITCHEN,10010 - 179A STREET NW,404377256-002,Issued,,"Sep 01, 2023",,4400,Place LaRue,Nakota Isga,53.538599,-113.631560,"(53.5385990474609, -113.63155957236195)",1,POINT (-113.63155957236195 53.5385990474609)
